0069010aee500c7a6de81724ccd6d371286b0a71c8739bc289cbde26881d322d	EverDrive N8/4 Homebrew/Function (PD) 2014NESDEV Denine.nes	d8c0db7097fd7ead8e9fa627bb9ff0f5ca200c29	543585b988c5d045d48dc90b3a409f2c	2cc49302	
00710e8e38578e53116c3f0b4ab1db7ea6e4bfdd172105964ce39ded37c7d41b	EverDrive N8/3 PlayChoice-10 Arcade/Tennis (PC10).nes	26299c832a3540f3fd296405780b1e9865503261	8ac61e6edc222f2effaabbc7d55c9f7b	64acdee5	
00724b6928fe527cfdb237694e2adc9684789042e73f505d33b1e4f17eab9d8f	EverDrive N8/2 Japan - A-Z/Japan E-J/Hello Kitty World (Japan).nes	c624154ffb5ab97bfd62547d8b1205fbf9df8236	18af1dbdafc0fd3b1ab5342ae11d0265	54dc10cd	
00755760399f974887b3af828af396b4135418c0159eb09ac1b883df791dabfa	NES/4 Betas, Prototypes, Revisions/Revisions/USA/Winter Games (USA).nes	410de2dad9e5c7c8b9d6c8d66c1cb2d3f98ef3b7	bc163d5c24a9f3c3b76d1d891196a689	05167d13	131088
0076f27f059d4de346728ec9df3ee4a0f81d79b3a2e5d71d8ecb62f59ddeeeaf	NES/1 US - A-F/Code Name - Viper (USA).nes	4c86ae577454b6de9a3fe48acbb7f095c8b82d3b	e5ea9ac46547daa60d5bbeccb7e69961	5988da29	262160
0077936ce3f1310bd494adef2a0f4f71ea9fbb58d6bd19f3713c4224d63f5bbf	EverDrive N8/2 Japan - A-Z/Japan P-S/Rolling Thunder (Japan).nes	4e04f588121e161241ba9853cb4a414aa6d5e8ec	bc74dba96f2c47b65ead442a771bbf8b	9853edf7	
0080754ae29d9aa30cf79399e390ccaa8299f22fd6a6a7466d290e97c5d5ca2d	NES/4 Pirate/China/Koudai Baoshi - Hong (China) (Aftermarket) (Pirate).nes	4a6643e7b7e521e0ffd8a20c2d06578642377494	e7a0e1000de17a9d4554c24a69d6bdca	6558bd14	2097168
0085dc774a900bf0eb445f837f1dfaab131d2315ec0e6fd7962891e5af1291d4	EverDrive N8/2 Europe - A-Z/Europe N-Z/Slalom (Europe).nes	b3c05018c63b233c77381c163e010ca1660461f2	bb7c6c4fa83cd69f2edf072145ce8ac9	247a520d	
0089f774243076b18e5d1b4c80384f37d020ec9497dc4385297b109a6abcfa0f	EverDrive N8/4 Hacks/Hacks K-O/Kirby Adventure Fucked (Hack).nes	c6f778708182114b4f58093575cf51b5de9926b7	584788a6d6693df9b1a30be8a1f19ec3	8507992c	
009702d930465eedf36d4d53d8e987856cdc765f369ea580de40be93fc4ce547	NES/5 Tools & Service Test Carts/Revisions/240p Test Suite/240p Test Suite (World) (v0.22-132) (TGROM) (Program) (Aftermarket) (Unl).nes	f9379dc008dce2365b36d01982a0f27eab8110a4	8ac6be9147f387396064d9e3fed6fa1e	0f808c4c	65552
